site,date,iupac_name,pubchem_cid,value,loq,lod,censored
HOV 122z,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.420907840440165e-13,NA,NA,none
ALN 138x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.372764786795048e-13,7.909215955983495e-13,2.372764786795048e-13,left
ALN 125x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,3.036451169188446e-13,NA,NA,none
ALN 136x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,4.676753782668501e-13,NA,NA,none
HOV 122z,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.2008253094910591e-13,7.336084364970197e-13,2.2008253094910591e-13,left
ALN 138x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.2008253094910591e-13,7.336084364970197e-13,2.2008253094910591e-13,left
ALN 125x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.2008253094910591e-13,7.336084364970197e-13,2.2008253094910591e-13,left
ALN 136x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.403713892709766e-13,8.012379642365888e-13,2.403713892709766e-13,left
HOV 122z,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,7.49656121045392e-13,2.498853736817973e-12,7.49656121045392e-13,left
ALN 138x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,7.49656121045392e-13,2.498853736817973e-12,7.49656121045392e-13,left
ALN 125x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.7819807427785423e-12,NA,NA,none
ALN 136x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,7.49656121045392e-13,2.498853736817973e-12,7.49656121045392e-13,left
HOV 122z,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,2.063273727647868e-14,6.87757909215956e-14,2.063273727647868e-14,left
ALN 138x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,1.71939477303989e-14,5.731315910132967e-14,1.71939477303989e-14,left
ALN 125x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,7.565337001375514e-14,NA,NA,none
ALN 136x,2016-11-01,"1,2,3,4,5,6-hexachlorocyclohexane",727,4.642365887207703e-13,NA,NA,none
HOV 122z,2016-11-01,nickel,935,2.4965799971962963e-7,NA,NA,none
ALN 138x,2016-11-01,nickel,935,2.6860032684643143e-8,NA,NA,none
ALN 125x,2016-11-01,nickel,935,8.796324619797984e-8,NA,NA,none
ALN 136x,2016-11-01,nickel,935,3.790124946074523e-8,NA,NA,none
HOV 122z,2016-11-01,4-nonylphenol,1752,1.815293850692081e-13,6.050979502306937e-13,1.815293850692081e-13,left
ALN 138x,2016-11-01,4-nonylphenol,1752,1.815293850692081e-13,6.050979502306937e-13,1.815293850692081e-13,left
ALN 125x,2016-11-01,4-nonylphenol,1752,1.815293850692081e-13,6.050979502306937e-13,1.815293850692081e-13,left
ALN 136x,2016-11-01,4-nonylphenol,1752,1.815293850692081e-13,6.050979502306937e-13,1.815293850692081e-13,left
HOV 122z,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",3035,5.943396226415094e-13,1.981132075471698e-12,5.943396226415094e-13,left
ALN 138x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",3035,5.943396226415094e-13,1.981132075471698e-12,5.943396226415094e-13,left
ALN 125x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",3035,5.943396226415094e-13,1.981132075471698e-12,5.943396226415094e-13,left
ALN 136x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",3035,5.943396226415094e-13,1.981132075471698e-12,5.943396226415094e-13,left
HOV 122z,2016-11-01,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",3036,1.1086036671368125e-12,3.695345557122708e-12,1.1086036671368125e-12,left
ALN 138x,2016-11-01,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",3036,1.1086036671368125e-12,3.695345557122708e-12,1.1086036671368125e-12,left
ALN 125x,2016-11-01,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",3036,1.1086036671368125e-12,3.695345557122708e-12,1.1086036671368125e-12,left
ALN 136x,2016-11-01,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",3036,1.1086036671368125e-12,3.695345557122708e-12,1.1086036671368125e-12,left
HOV 122z,2016-11-01,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",4211,5.125e-13,1.7083333333333335e-12,5.125e-13,left
ALN 138x,2016-11-01,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",4211,5.125e-13,1.7083333333333335e-12,5.125e-13,left
ALN 125x,2016-11-01,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",4211,5.125e-13,1.7083333333333335e-12,5.125e-13,left
ALN 136x,2016-11-01,"1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",4211,5.125e-13,1.7083333333333335e-12,5.125e-13,left
HOV 122z,2016-11-01,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,4632,5.6957588503329825e-11,NA,NA,none
ALN 138x,2016-11-01,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,4632,2.2344900105152468e-11,NA,NA,none
ALN 125x,2016-11-01,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,4632,9.638976515948124e-11,NA,NA,none
ALN 136x,2016-11-01,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,4632,2.190676480897301e-11,7.302254936324337e-11,2.190676480897301e-11,left
HOV 122z,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
ALN 138x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
ALN 125x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
ALN 136x,2016-11-01,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",6294,1.0406250000000001e-12,3.46875e-12,1.0406250000000001e-12,left
HOV 122z,2016-11-01,triethyl phosphate,6535,3.15478810121996e-9,NA,NA,none
ALN 138x,2016-11-01,triethyl phosphate,6535,1.2252110451395193e-9,NA,NA,none
ALN 125x,2016-11-01,triethyl phosphate,6535,1.1206931164829368e-9,NA,NA,none
HOV 122z,2016-11-01,tris(2-ethylhexyl) phosphate,6537,3.5983117512456577e-12,NA,NA,none
ALN 138x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.3805798435342843e-12,4.601932811780948e-12,1.3805798435342843e-12,left
ALN 125x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.1863519671505207e-11,NA,NA,none
ALN 136x,2016-11-01,tris(2-ethylhexyl) phosphate,6537,1.2856773336257575e-11,NA,NA,none
HOV 122z,2016-11-01,tris(2-butoxyethyl) phosphate,6540,1.0510767495566426e-9,NA,NA,none
ALN 138x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,2.6234593842949177e-10,NA,NA,none
ALN 125x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,5.289106245989379e-10,NA,NA,none
ALN 136x,2016-11-01,tris(2-butoxyethyl) phosphate,6540,2.7360914898963167e-9,NA,NA,none
HOV 122z,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,7.991369321133176e-13,2.663789773711059e-12,7.991369321133176e-13,left
ALN 138x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,2.3345766572102126e-11,NA,NA,none
ALN 125x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,2.8934279378271467e-11,NA,NA,none
ALN 136x,2016-11-01,4-(4-hydroxyphenyl)sulfonylphenol,6626,1.2499016106604865e-9,NA,NA,none
HOV 122z,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 138x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 125x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
ALN 136x,2016-11-01,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",7547,3.1685678073510774e-12,1.0561892691170256e-11,3.1685678073510774e-12,left
HOV 122z,2016-11-01,triphenyl phosphate,8289,6.129328838492186e-11,2.0431096128307283e-10,6.129328838492186e-11,left
