site,date,iupac_name,pubchem_cid,value,loq,lod,censored
So 7/2,2015-01-14,Arsenic,5359596,1.014393848288591e-8,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-01-14,Arsenic,5359596,1.2279504479282943e-8,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-02-12,Arsenic,5359596,7.741426736939246e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-02-12,Arsenic,5359596,1.7351473720725895e-8,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-03-13,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-03-13,Arsenic,5359596,6.940589488290358e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-08-26,Arsenic,5359596,6.940589488290358e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-08-26,Arsenic,5359596,8.40879111081332e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-09-21,Arsenic,5359596,6.1397522396414715e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-09-21,Arsenic,5359596,1.1478667230634055e-8,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-10-20,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-10-20,Arsenic,5359596,6.807116613515544e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
So 7/2,2015-11-18,Arsenic,5359596,3.069876119820735e-8,1.7796383303308614e-8,5.338914990992584e-9,none
Lind 1,2015-11-18,Arsenic,5359596,2.1355659963970336e-8,1.7796383303308614e-8,5.338914990992584e-9,none
So 7/2,2015-12-15,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-12-15,Arsenic,5359596,9.476574109011836e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Stasjon 4,2015-05-20,Arsenic,5359596,1.574979922342812e-8,6.673643738740729e-9,2.0020931216222185e-9,none
So 7/2,2015-04-22,Arsenic,5359596,5.872806490091842e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-04-22,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
So 7/2,2015-05-20,Arsenic,5359596,9.743519858561464e-9,1.7796383303308614e-8,5.338914990992584e-9,interval
Lind 1,2015-05-20,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
So 7/2,2015-06-19,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-06-19,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
So 7/2,2015-07-13,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-07-13,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
So 7/2,2015-08-14,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Lind 1,2015-08-14,Arsenic,5359596,5.338914990992584e-9,1.7796383303308614e-8,5.338914990992584e-9,left
Stasjon 4,2015-06-25,Arsenic,5359596,6.673643738740729e-9,6.673643738740729e-9,2.0020931216222185e-9,interval
Stasjon 4,2015-08-14,Arsenic,5359596,6.673643738740729e-9,6.673643738740729e-9,2.0020931216222185e-9,interval
Stasjon 4,2015-09-21,Arsenic,5359596,1.1745612980183685e-8,6.673643738740729e-9,2.0020931216222185e-9,none
Stasjon 5,2015-05-20,Arsenic,5359596,1.3080341727931828e-8,6.673643738740729e-9,2.0020931216222185e-9,none
Stasjon 5,2015-06-25,Arsenic,5359596,6.673643738740729e-9,6.673643738740729e-9,2.0020931216222185e-9,interval
Stasjon 5,2015-08-14,Arsenic,5359596,6.673643738740729e-9,6.673643738740729e-9,2.0020931216222185e-9,interval
Stasjon 5,2015-09-21,Arsenic,5359596,9.87699273333628e-9,6.673643738740729e-9,2.0020931216222185e-9,none
So 7/2,2015-01-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-01-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-02-12,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-02-12,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-03-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-03-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-08-26,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-09-21,Cadmium,23973,3.1136019927052752e-9,2.9653352311478815e-9,8.896005693443645e-10,none
Lind 1,2015-09-21,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-10-20,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-10-20,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-11-18,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-11-18,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-12-15,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-12-15,Cadmium,23973,1.601281024819856e-9,2.9653352311478815e-9,8.896005693443645e-10,interval
Stasjon 4,2015-05-20,Cadmium,23973,7.116804554754916e-10,6.227203985410551e-11,1.868161195623165e-11,none
So 7/2,2015-04-22,Cadmium,23973,9.785606262788009e-9,2.9653352311478815e-9,8.896005693443645e-10,none
Lind 1,2015-04-22,Cadmium,23973,2.6688017080330933e-8,2.9653352311478815e-9,8.896005693443645e-10,none
So 7/2,2015-05-20,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-05-20,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-06-19,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-06-19,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-07-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-07-13,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-08-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
Lind 1,2015-08-14,Cadmium,23973,8.896005693443645e-10,2.9653352311478815e-9,8.896005693443645e-10,left
So 7/2,2015-08-26,Cadmium,23973,9.78560626278801e-10,2.9653352311478815e-9,8.896005693443645e-10,interval
Stasjon 4,2015-06-25,Cadmium,23973,1.450048928031314e-9,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-08-14,Cadmium,23973,1.779201138688729e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-09-21,Cadmium,23973,2.4908815941642205e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-05-20,Cadmium,23973,3.113601992705276e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-06-25,Cadmium,23973,2.8467218219019663e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-08-14,Cadmium,23973,1.779201138688729e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 5,2015-09-21,Cadmium,23973,7.383684725558225e-10,6.227203985410551e-11,1.868161195623165e-11,none
Stasjon 4,2015-05-20,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-06-25,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-08-14,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 4,2015-09-21,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-05-20,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-06-25,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-08-14,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
Stasjon 5,2015-09-21,Chromium,23976,9.616124317255173e-9,9.616124317255173e-9,2.884837295176552e-9,interval
So 7/2,2015-01-14,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-01-14,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
So 7/2,2015-02-12,Copper,23978,6.294256490952007e-9,2.0980854969840023e-8,6.294256490952007e-9,left
Lind 1,2015-02-12,Copper,23978,7.710464201416208e-9,2.0980854969840023e-8,6.294256490952007e-9,interval
